code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,doc_link,source_link
CC,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,16,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/ea4fc6ee631a77863361f79e3b3670f1bfc6fe7f/docs/tf2/README.md#L5
CNN,repo,README.md,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,54,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,53,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,135,133,133,133,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/docs/tf2/SUMMARY.md#L7
COCO,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/docs/tf2/14.md#L773
CRF,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/src/tutorials/keras/text_NER.py#L9
CSDN,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/ea4fc6ee631a77863361f79e3b3670f1bfc6fe7f/docs/misc/AI学习路线.md#L207
DAG,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/docs/nlp/9.md#L237
DUC,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/docs/da/083.md#L278
DataSciComp,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/b16322f4277f5d58a51286147c4ef917ab6b0e33/docs/nlp/README.md#L109
FP,repo,README.md,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,74,74,76,76,76,76,76,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/src/py3.x/ml/12.FrequentPattemTree/fpGrowth.py#L7
GRU,repo,README.md,4,4,4,4,4,4,4,4,4,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,43,43,43,43,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/src/py3.x/tensorflow2.x/text_PoetryModel.py#L14
GitHub,repo,README.md,92,92,92,94,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,96,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,101,101,101,101,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/src/py3.x/tensorflow2.x/text_regression.py#L6
HMM,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/docs/nlp/0.md#L83
HOME,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/ea4fc6ee631a77863361f79e3b3670f1bfc6fe7f/docs/tf2/19.md#L76
IMDB,repo,README.md,0,0,0,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,9,9,9,9,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/src/py3.x/tensorflow2.x/text_classification.py#L12
KNN,repo,README.md,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,45,45,45,45,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,43,43,43,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/src/py3.x/ml/2.KNN/sklearn-knn-demo.py#L7
LSTM,repo,README.md,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,81,81,81,81,81,81,81,81,81,83,83,83,83,83,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,91,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,135,133,133,133,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/src/tutorials/keras/text_NER.py#L8
ML,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,28,28,28,28,30,30,30,30,35,35,35,35,35,35,35,35,35,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/ea4fc6ee631a77863361f79e3b3670f1bfc6fe7f/src/script.py#L87
MXNet,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/docs/tf2/10.md#L245
MapReduce,repo,README.md,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/src/py3.x/ml/15.BigData_MapReduce/py27dbg.py#L3
NC,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/ea4fc6ee631a77863361f79e3b3670f1bfc6fe7f/docs/tf2/README.md#L5
NLP,repo,README.md,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,84,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,91,91,91,91,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/docs/tf2/16.md#L11
NLTK,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,-,-,-,-,-,-,-,-,-,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/d4da800beb8bd19b5b53445cbe1488a00d1bfafa/docs/nlp/README.md#L16
NPM,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/apachecn/ailearning/blob/c1408ef5203e351f0249b206d46c2473fd6c1b24/README.md,https://github.com/apachecn/ailearning/blob/ea4fc6ee631a77863361f79e3b3670f1bfc6fe7f/docs/tf2/README.md#L44
