code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,doc_link,source_link
DELETE,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,17,17,17,18,19,19,19,19,19,19,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L33
GET,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L33
HS256,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L17
HSTS,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L30
HTTP,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,5,7,9,9,9,9,9,9,9,9,9,12,12,12,12,12,14,14,14,14,15,15,15,15,15,15,21,21,21,21,21,24,24,26,26,26,26,26,29,29,29,32,32,32,32,32,32,34,36,38,40,40,57,57,60,60,60,63,66,66,66,66,66,66,69,69,72,72,72,72,72,74,74,74,74,74,74,74,74,75,75,75,78,78,74,74,74,74,74,74,74,74,74,74,74,74,74,77,77,77,80,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L33
HTTPS,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,9,9,10,10,10,10,10,11,11,11,12,12,12,12,12,12,13,14,15,16,16,16,16,17,17,17,18,19,19,19,19,19,19,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,23,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L29
ID,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,3,3,3,3,3,4,4,6,6,6,6,6,8,8,8,8,8,8,8,8,8,10,12,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,18,18,24,24,24,24,24,24,24,24,24,25,25,27,27,27,27,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-vi.md#L42
JSON,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,10,10,10,10,10,11,11,12,12,12,12,12,13,13,13,15,15,15,15,15,15,16,17,18,19,19,36,36,38,38,38,40,42,42,42,42,42,42,44,44,46,46,46,46,46,48,48,48,48,48,48,48,48,48,48,48,50,50,48,48,48,48,48,48,48,48,48,48,48,48,48,50,50,50,52,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L15
JWT,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,8,12,16,16,16,16,16,16,16,16,16,20,20,20,20,20,25,25,25,25,28,28,28,28,28,28,36,36,36,36,36,40,40,44,44,44,44,44,48,48,48,52,52,52,52,52,52,56,60,64,68,68,68,68,72,72,72,76,81,81,81,81,81,81,85,85,88,88,88,88,88,91,91,91,91,91,91,91,91,91,91,91,95,95,91,91,91,91,91,91,91,91,91,91,91,91,91,95,95,95,99,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L10
MITM,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,8,8,8,8,8,9,9,10,10,10,10,10,11,11,11,12,12,12,12,12,12,13,14,15,16,16,16,16,17,17,17,18,19,19,19,19,19,19,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L29
OFF,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/44f8ae279eae994ca7027ddf4cc2f09b010f87b4/README-jp.md#L48
OK,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L57
PATCH,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,4,4,4,4,5,6,6,7,7,7,7,7,8,8,8,9,9,9,9,9,9,10,11,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,15,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,19,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-vi.md#L33
POST,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,10,10,10,10,10,11,11,12,12,12,12,12,13,13,13,15,15,15,15,15,15,17,18,19,20,20,20,20,20,20,20,21,22,22,22,22,22,22,24,24,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,28,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L33
PUT,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,14,14,14,14,14,14,15,16,17,18,18,18,18,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L33
Passwords,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,9,11,11,11,11,13,13,13,15,17,17,17,17,17,17,17,17,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,21,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L37
Quota,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,1,2,2,3,3,3,4,4,4,4,5,5,5,6,7,8,8,8,8,9,9,9,10,11,11,11,11,11,11,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L38
README,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,3,3,4,4,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,39,39,52,52,52,52,52,82,82,84,84,84,102,102,112,112,122,122,124,147,147,147,172,172,172,172,172,172,178,206,221,251,275,275,275,275,309,309,326,343,362,362,362,362,362,362,423,443,443,443,443,443,465,509,509,509,509,509,509,509,509,509,509,532,532,510,510,510,510,510,510,510,510,510,510,510,510,510,556,556,556,605,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L1
RESTful,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,17,18,18,18,19,20,20,20,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L69
RS256,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L17
RTTL,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,17,17,17,18,19,19,19,19,19,19,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L18
SQL-Injection,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,11,12,13,13,13,13,14,14,14,14,15,15,15,15,15,15,16,16,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-vi.md#L36
SSL,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,5,5,5,5,5,5,7,7,7,7,7,9,9,9,9,11,11,11,11,11,11,17,17,17,17,17,19,19,20,20,20,20,20,22,22,22,23,23,23,23,23,23,25,27,29,31,31,31,31,33,33,33,33,35,35,35,35,35,35,37,37,39,39,39,39,39,41,41,41,41,41,41,41,41,41,41,41,43,43,41,41,41,41,41,41,42,42,42,42,42,42,42,43,43,43,45,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L30
Server,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,14,15,16,17,17,17,17,18,18,18,19,20,20,20,20,20,20,21,21,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README.md,https://github.com/shieldfy/API-Security-Checklist/blob/7680abd7c069c6e0069bc13cf8cdee075e37372e/README-zh.md#L54
