code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,doc_link,source_link
bcda_server_url,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/docs/periodic_gcp_ingestion.md#L54
client_id,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/docs/periodic_gcp_ingestion.md#L54
client_secret,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/docs/periodic_gcp_ingestion.md#L54
enable_fhir_store,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/cmd/bcda_fetch/bcda_fetch_test.go#L450
fhir/,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/internal/testhelpers/fhirstore.go#L124
fhir_store_gcp_dataset_id,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/cmd/bcda_fetch/bcda_fetch_test.go#L470
fhir_store_gcp_location,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/cmd/bcda_fetch/bcda_fetch_test.go#L469
fhir_store_gcp_project,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/cmd/bcda_fetch/bcda_fetch_test.go#L468
fhir_store_id,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/cmd/bcda_fetch/bcda_fetch_test.go#L471
gcp_vm_setup,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/docs/periodic_gcp_ingestion.md#L40
go_test,repo,README.md,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/.github/workflows/go_test.yml#L1
medical_claims_tools,repo,README.md,-,-,-,-,-,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,19,19,19,22,22,22,22,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/internal/counter/counter_test.go#L21
output_prefix,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/cmd/bcda_fetch/bcda_fetch_test.go#L464
since_file,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/docs/periodic_gcp_ingestion.md#L28
use_v2,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/medical_claims_tools/blob/961426a144e5f5a49245fde61bd219a719217ab4/README.md,https://github.com/google/medical_claims_tools/blob/918019feccf3a85f2f06d398941c022a0f551cb2/docs/periodic_gcp_ingestion.md#L54
