code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,doc_link,source_link
git_repository,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L6
"go_register_toolchains(version = ""1.16"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L43
go_rules_dependencies(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L41
http_archive,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L3
io_bazel_rules_go,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L21
"load(""@bazel_gazelle//:deps.bzl"", ""gazelle_dependencies"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L39
"load(""@bazel_tools//tools/build_defs/pkg:pkg.bzl"", ""pkg_tar"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/BUILD.bazel#L6
"load(""@bazel_tools//tools/build_defs/repo:git.bzl"", ""git_repository"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L8
"load(""@com_github_google_rpmpack//:def.bzl"", ""pkg_tar2rpm"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/BUILD.bazel#L7
"load(""@com_github_google_rpmpack//:deps.bzl"", ""rpmpack_dependencies"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L47
"load(""@io_bazel_rules_go//go:deps.bzl"", ""go_register_toolchains"", ""go_rules_dependencies"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L38
package_dir,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/BUILD.bazel#L15
pkg_name,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/BUILD.bazel#L40
pkg_tar,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/BUILD.bazel#L10
pkg_tar2rpm,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/BUILD.bazel#L36
r.Write(w),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/cmd/tar2rpm/main.go#L175
rpm,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,29,29,29,29,30,30,30,32,32,33,33,39,39,53,53,57,59,59,60,60,61,61,68,68,73,73,79,79,79,83,90,90,90,90,90,90,90,90,90,91,91,105,105,105,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/tar.go#L27
rpmpack,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,35,35,35,35,35,38,36,36,36,36,42,42,44,47,47,47,47,47,47,47,47,47,47,48,48,50,51,51,52,52,57,57,57,57,57,62,62,62,62,62,62,74,74,74,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/tar_test.go#L15
rpmpack_dependencies(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L49
rules_go,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/WORKSPACE#L24
stdin,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/cmd/tar2rpm/main.go#L100
tar,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,25,25,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,29,29,30,30,30,30,30,30,30,30,30,34,34,34,34,34,34,43,43,43,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/tar_test.go#L18
tar2rpm,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/rpmpack/blob/dc539ef4f2ea1c53ab359280cadc7249f2fb3e61/README.md,https://github.com/google/rpmpack/blob/51a1004ef6cbb74baee844c056ffd052ed7d946a/example_bazel/content1.txt#L1
