code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
audioCat.ui.TrackListingManager,repo,README.md,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/original/ui/track-listing-manager.js#L16
audioCat.utility.IdGenerator,repo,README.md,168,168,168,168,168,168,168,168,168,171,171,171,171,171,171,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/original/utility/id-generator_test.js#L18
auto_generated/all_tests.js,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/do.py#L498
closure_library,repo,README.md,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/test/tests.html#L10
closure_stylesheets,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/do.py#L104
closure_templates,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/do.py#L157
easy_install,repo,README.md,6,6,6,6,0,0,0,0,0,0,0,0,-,-,-,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/1fc83c52a6f049ac6a11f7a2bff3d36999d78f40/build/Jinja2/docs/intro.rst#L28
generator_test,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/auto_generated/all_tests.js#L1
src,repo,README.md,1757,1757,1757,1757,1765,1766,1766,1768,1768,1768,1772,1771,1771,1771,1771,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/third_party/js/lame.js#L90
src/js/auto_generated,repo,README.md,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/test/tests.html#L11
src/js/original,repo,README.md,3,3,3,3,3,4,4,4,4,4,5,4,4,4,4,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/do.py#L86
src/js/original/app,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/do.py#L105
src/js/original/state,repo,README.md,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/auto_generated/all_tests.js#L1
src/js/original/utility,repo,README.md,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/src/js/auto_generated/all_tests.js#L1
third_party,repo,README.md,28,28,28,28,30,30,30,30,30,30,33,33,33,33,33,https://github.com/google/beautiful-audio-editor/blob/441fec151730487428d4ac25121b96ba9eb3cca7/README.md,https://github.com/google/beautiful-audio-editor/blob/41a04ed849965e05f9e2611c2d7953c26be2c582/third_party/closure_library/closure/goog/testing/jsunit.js#L35
