code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,doc_link,source_link
codeu.chat.SimpleGuiClientMain,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/run_simple_gui_client.sh#L21
java.util.logging.Logger,repo,README.md,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/util/Logger.java#L35
localhost,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/run_simple_gui_client.sh#L17
run_client.sh,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,code_element is a file name
run_relay.sh,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,code_element is a file name
run_server,repo,README.md,-,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/e1edf2e8ad78c14dd111c449f6e34a3f48757773/teams#L2
run_server.sh,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/codeu_project_2017/blob/e6e1863a5dd36503e59f0d8d76ed62f6af44977a/README.md,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/teams#L2
GitHub,wiki,Git-Cookbook.md,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/codeu_project_2017/wiki/Git-Cookbook/2e64442467d647c271d3f8620b7fc8c7f4723ab8,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/CONTRIBUTING.md#L24
ClientConnectionSource,wiki,Relay-Server.md,.,.,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/codeu_project_2017/wiki/Relay-Server/b2b59239f18afa66a66f6d4f09d37040b065bd46,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/util/connections/ClientConnectionSource.java#L27
Relay.Bundle,wiki,Relay-Server.md,.,.,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,31,31,https://github.com/google/codeu_project_2017/wiki/Relay-Server/b2b59239f18afa66a66f6d4f09d37040b065bd46,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/test/codeu/chat/relay/ServerTest.java#L106
Relay.Bundle.Component,wiki,Relay-Server.md,.,.,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,https://github.com/google/codeu_project_2017/wiki/Relay-Server/b2b59239f18afa66a66f6d4f09d37040b065bd46,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/server/Server.java#L258
RemoteRelay,wiki,Relay-Server.md,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/codeu_project_2017/wiki/Relay-Server/b2b59239f18afa66a66f6d4f09d37040b065bd46,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/server/RemoteRelay.java#L33
ServerConnectionSource,wiki,Relay-Server.md,.,.,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/codeu_project_2017/wiki/Relay-Server/b2b59239f18afa66a66f6d4f09d37040b065bd46,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/util/connections/ServerConnectionSource.java#L28
ServerFrontEnd,wiki,Relay-Server.md,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/codeu_project_2017/wiki/Relay-Server/b2b59239f18afa66a66f6d4f09d37040b065bd46,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/relay/ServerFrontEnd.java#L31
pack(),wiki,Relay-Server.md,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/codeu_project_2017/wiki/Relay-Server/b2b59239f18afa66a66f6d4f09d37040b065bd46,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/simplegui/ChatSimpleGui.java#L117
read(),wiki,Relay-Server.md,.,.,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/codeu_project_2017/wiki/Relay-Server/b2b59239f18afa66a66f6d4f09d37040b065bd46,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/util/Uuid.java#L56
sendToRelay,wiki,Relay-Server.md,.,.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/codeu_project_2017/wiki/Relay-Server/b2b59239f18afa66a66f6d4f09d37040b065bd46,https://github.com/google/codeu_project_2017/blob/851e5cd912b95b6ea34f8b0b8da60fcd1c816909/src/codeu/chat/server/Server.java#L98
syncWithRelay,wiki,Relay-Server.md,.,.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/codeu_project_2017/wiki/Relay-Server/b2b59239f18afa66a66f6d4f09d37040b065bd46,https://github.com/google/codeu_project_2017/blob/851e5cd912b95b6ea34f8b0b8da60fcd1c816909/src/codeu/chat/server/Server.java#L63
BasicController,wiki,Server.md,.,.,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/codeu_project_2017/wiki/Server/42e789a0ca53f254df555cad3cfd25879e6cc902,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/test/codeu/chat/server/BasicControllerTest.java#L21
BasicView,wiki,Server.md,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/codeu_project_2017/wiki/Server/42e789a0ca53f254df555cad3cfd25879e6cc902,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/server/View.java#L30
ID,wiki,Server.md,.,.,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,https://github.com/google/codeu_project_2017/wiki/Server/42e789a0ca53f254df555cad3cfd25879e6cc902,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/util/Uuid.java#L195
LogicalView,wiki,Server.md,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/codeu_project_2017/wiki/Server/42e789a0ca53f254df555cad3cfd25879e6cc902,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/server/View.java#L33
RawController,wiki,Server.md,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/codeu_project_2017/wiki/Server/42e789a0ca53f254df555cad3cfd25879e6cc902,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/test/codeu/chat/server/RawControllerTest.java#L23
ServerFrontEnd,wiki,Server.md,.,.,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/codeu_project_2017/wiki/Server/42e789a0ca53f254df555cad3cfd25879e6cc902,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/relay/ServerFrontEnd.java#L31
ChatSimpleGui,wiki,Simple-Clients.md,.,.,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/simplegui/ChatSimpleGui.java#L27
ClientConversation,wiki,Simple-Clients.md,.,.,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/ClientMessage.java#L47
ClientMain,wiki,Simple-Clients.md,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/ClientMain.java#L28
ClientMessage,wiki,Simple-Clients.md,.,.,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/ClientMessage.java#L29
ClientUser,wiki,Simple-Clients.md,.,.,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/ClientUser.java#L27
GUI,wiki,Simple-Clients.md,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/simplegui/ChatSimpleGui.java#L26
NOTE,wiki,Simple-Clients.md,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/simplegui/UserPanel.java#L27
ServerMain,wiki,Simple-Clients.md,.,.,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/ServerMain.java#L33
SimpleGuiClientMain,wiki,Simple-Clients.md,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/SimpleGuiClientMain.java#L27
c-list-all,wiki,Simple-Clients.md,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/commandline/Chat.java#L56
c-select,wiki,Simple-Clients.md,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/commandline/Chat.java#L57
current,wiki,Simple-Clients.md,.,.,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/util/store/Store.java#L26
exit,wiki,Simple-Clients.md,.,.,4,4,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/util/Timeline.java#L100
help,wiki,Simple-Clients.md,.,.,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/util/store/Store.java#L62
m-list-all,wiki,Simple-Clients.md,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/commandline/Chat.java#L60
m-show,wiki,Simple-Clients.md,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/commandline/Chat.java#L62
sign-in,wiki,Simple-Clients.md,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/commandline/Chat.java#L48
sign-out,wiki,Simple-Clients.md,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/commandline/Chat.java#L49
u-list-all,wiki,Simple-Clients.md,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/codeu_project_2017/wiki/Simple-Clients/251875f759501382cb2678841fa1d669a83ec112,https://github.com/google/codeu_project_2017/blob/2503f0f6dfca50198f1b9cdadeec1d4103d24066/src/codeu/chat/client/commandline/Chat.java#L53
