code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,doc_link,source_link
.txt,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/meshes2dataset.py#L162
3D,repo,README.md,-,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/ldif/util/net_util.py#L157
CSV,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/eval.py#L70
CUDA,repo,README.md,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/train.py#L104
GAPS,repo,README.md,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/ldif/util/geom_util_np.py#L278
GL/gl.h,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/build_gaps.sh#L44
GL/glu.h,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/build_gaps.sh#L44
GPU,repo,README.md,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/train.py#L103
GitHub,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/CONTRIBUTING.md#L22
IO,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/meshes2dataset.py#L68
LDIF,repo,README.md,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,115,115,115,115,115,115,115,115,115,115,115,115,115,117,117,117,117,117,117,117,117,117,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/train.py#L33
OSMesa,repo,README.md,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/build_gaps.sh#L34
OccNet,repo,README.md,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/reproduce_shapenet_autoencoder.sh#L29
OpenGL,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/ldif/scripts/render_depth_images.py#L37
PyTorch,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/ldif/torch/sif_evaluation.py#L15
README,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/reproduce_shapenet_autoencoder.sh#L20
ResNet50,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/ldif/model/hparams.py#L192
SDF,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/ldif/util/interpolate_util.py#L27
SIF,repo,README.md,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,75,75,78,78,78,82,84,84,84,84,84,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/train.py#L94
ShapeNet,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/ldif/datasets/shapenet_np.py#L15
TODO,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,101,101,102,102,102,105,105,105,105,105,105,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/train.py#L113
build_gaps.sh,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,code_element is a file name
build_kernel,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/b212ab0b59a026f1bd9e681bbb5d409ab415e3a4/ldif/inference/predict.py#L862
dataset_directory,repo,README.md,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/unit_test.sh#L34
estimate_sign,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/ldif/scripts/process_mesh_local.sh#L46
eval.py,repo,README.md,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/unit_test.sh#L46
experiment_name,repo,README.md,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/unit_test.sh#L41
ldif/,repo,README.md,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/.gitignore#L2
ldif/model/hparams.py,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,code_element is a file name
ldif_example_inference.ipynb,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,code_element is a file name
ldif_root,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/reproduce_shapenet_autoencoder.sh#L24
mesh_directory,repo,README.md,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/unit_test.sh#L33
meshes2dataset.py,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/unit_test.sh#L33
model_directory,repo,README.md,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/unit_test.sh#L42
model_type,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/unit_test.sh#L42
output_mesh,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/6ad3c7fcba4056b6502947b0996000ae464105b7/ldif/qview/qview.cpp#L831
qview,repo,README.md,9,9,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/ldif/qview/Makefile#L18
reproduce_shapenet_autoencoder.sh,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,code_element is a file name
requirements.txt,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,code_element is a file name
sif.py,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,code_element is a file name
train.py,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/unit_test.sh#L41
trained_models,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,https://github.com/google/ldif/blob/0f0f940a3e56b9c591d4869a197b12be38db0052/train.py#L78
unit_test.sh,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ldif/blob/b7060e4bd804ba3f93f46bd6fd1736a7c0dd92a7/README.md,code_element is a file name
