code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,doc_link,source_link
yFiles,repo,README.md,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/main/java/com/google/security/zynamics/zylib/yfileswrap/yfiles/_Doc.java#L18
ysvg.jar,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/binnavi/blob/14b6870158d69e698dc44ac70e405a243def3229/README.md,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/build.xml#L36
API,wiki,Replacing-IDA-as-Disassembler-Frontend.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618,https://github.com/google/binnavi/wiki/Replacing-IDA-as-Disassembler-Frontend/68ef2d464be432ccbb1a271bc0e4587b706cbff3,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/wixsrc/Setup-en-us.wxl#L53
IDA,wiki,Replacing-IDA-as-Disassembler-Frontend.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,https://github.com/google/binnavi/wiki/Replacing-IDA-as-Disassembler-Frontend/68ef2d464be432ccbb1a271bc0e4587b706cbff3,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/wixsrc/Setup.wxs#L56
JVM,wiki,Replacing-IDA-as-Disassembler-Frontend.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/binnavi/wiki/Replacing-IDA-as-Disassembler-Frontend/68ef2d464be432ccbb1a271bc0e4587b706cbff3,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/main/java/com/google/security/zynamics/binnavi/Plugins/JarPluginLoader.java#L67
PE,wiki,Replacing-IDA-as-Disassembler-Frontend.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/binnavi/wiki/Replacing-IDA-as-Disassembler-Frontend/68ef2d464be432ccbb1a271bc0e4587b706cbff3,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/debug/client/windows/NTHeader.cpp#L43
PostgreSQL,wiki,Replacing-IDA-as-Disassembler-Frontend.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,https://github.com/google/binnavi/wiki/Replacing-IDA-as-Disassembler-Frontend/68ef2d464be432ccbb1a271bc0e4587b706cbff3,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/wixsrc/Setup.wxs#L114
REIL,wiki,Replacing-IDA-as-Disassembler-Frontend.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,https://github.com/google/binnavi/wiki/Replacing-IDA-as-Disassembler-Frontend/68ef2d464be432ccbb1a271bc0e4587b706cbff3,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/wixsrc/Manual.wxs#L269
RREIL,wiki,Replacing-IDA-as-Disassembler-Frontend.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/binnavi/wiki/Replacing-IDA-as-Disassembler-Frontend/68ef2d464be432ccbb1a271bc0e4587b706cbff3,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/test/java/com/google/security/zynamics/binnavi/testdata/database_schema.sql#L68
TODO,wiki,Replacing-IDA-as-Disassembler-Frontend.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,434,434,433,433,433,433,433,433,433,433,433,432,432,423,423,423,422,422,422,421,421,421,421,421,475,475,475,475,475,475,475,475,475,511,511,511,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,https://github.com/google/binnavi/wiki/Replacing-IDA-as-Disassembler-Frontend/68ef2d464be432ccbb1a271bc0e4587b706cbff3,https://github.com/google/binnavi/blob/4cfdd91cdda2a6150f537df91a8c4221ae50bb6d/src/test/java/com/google/security/zynamics/zylib/types/graphs/LengauerTarjanTest.java#L254
