code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
OsqpSettings,repo,README.md,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,43,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L58
OsqpSolver,repo,README.md,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,138,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L57
P,repo,README.md,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/src/osqp++.cc#L235
README,repo,README.md,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/include/osqp++.h#L18
SparseMatrix,repo,README.md,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L29
VectorXd,repo,README.md,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L31
abseil-cpp,repo,README.md,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/CMakeLists.txt#L33
adaptive_rho,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L579
constraint_matrix,repo,README.md,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L134
"constraint_matrix(1, 2)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L304
end(kTripletsA),repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L138
end(kTripletsP),repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L302
exit_code,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/src/osqp++.cc#L543
false,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,53,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L468
googletest,repo,README.md,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/CMakeLists.txt#L68
i,repo,README.md,-,-,-,34,34,34,34,34,34,34,34,34,34,34,34,34,70,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L41
instance.constraint_matrix,repo,README.md,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L52
instance.lower_bounds,repo,README.md,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L53
instance.objective_matrix,repo,README.md,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L49
instance.objective_vector,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L50
instance.upper_bounds,repo,README.md,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L55
kInfinity,repo,README.md,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L35
kOptimal,repo,README.md,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,39,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L160
kTripletsA,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L135
kTripletsP,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L299
l,repo,README.md,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/src/osqp++.cc#L248
libeigen3-dev,repo,README.md,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/.github/workflows/build.yml#L17
lower_bounds,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/src/osqp++.cc#L611
objective_matrix,repo,README.md,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L202
"objective_matrix(2, 2)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L298
objective_vector,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L367
osqp++.h,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L24
osqp-cpp,repo,README.md,-,-,-,-,-,-,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/CMakeLists.txt#L17
osqp.h,repo,README.md,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/41e671a2fdf7d0877baed9f84796ecf433f4398e/src/osqp++.cc#L27
q,repo,README.md,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/src/osqp++.cc#L247
resize(1),repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L50
resize(2),repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L53
setFromTriplets(std::begin(kTripletsA),repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L137
setFromTriplets(std::begin(kTripletsP),repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L301
solver.Solve(),repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L160
solver.objective_value,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L162
solver.primal_solution,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L163
std::numeric_limits<double>::infinity(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L35
u,repo,README.md,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/src/osqp++.cc#L249
upper_bounds,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/src/osqp++.cc#L612
"{{0, 0, 1.0}}",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/osqp-cpp/blob/c8596e85ae538e0900df59bd30edc2121c539b56/README.md,https://github.com/google/osqp-cpp/blob/8cd904e2b49c24dd41d11f8c6e0adb113dd5e26c/test/osqp++_test.cc#L305
