code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,doc_link,source_link
M2CryptoSigner,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/d9b94b2dda555c14674c19806debb8449c0e9652/adb/sign_m2crypto.py#L20
Pull,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/test/adb_test.py#L251
Push,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/test/adb_test.py#L238
TcpHandle,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/test/common_stub.py#L10
USB,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/setup.py#L46
adb,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,60,60,60,60,60,60,60,60,63,63,63,63,65,64,64,64,64,64,64,64,64,64,64,64,64,64,64,66,66,66,66,66,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/tox.ini#L17
adb.zip,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/make_tools.py#L16
adb_commands,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,36,36,36,36,36,36,36,36,36,36,36,36,39,45,45,45,45,48,48,48,48,48,48,48,35,35,35,35,35,35,35,35,35,35,35,20,20,20,20,21,21,21,21,21,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/test/adb_test.py#L24
adb_commands.AdbCommands(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,16,16,16,16,16,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/test/adb_test.py#L99
expanduser('~/.android/adbkey'),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/adb/adb_debug.py#L186
fastboot,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,42,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/test/fastboot_test.py#L15
fastboot.zip,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/make_tools.py#L16
grant_permissions,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/adb/adb_commands.py#L193
platform_system_core,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/setup.py#L50
pyadb,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/setup.py#L83
pyfastboot,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/setup.py#L84
rsa_keys,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/adb/fastboot.py#L235
sign_cryptography,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/make_tools.py#L46
sign_m2crypto,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,-,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/d9b94b2dda555c14674c19806debb8449c0e9652/make_tools.py#L46
st_mode,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,11,11,11,11,11,11,11,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/README.md,https://github.com/google/python-adb/blob/f4e597fe55900651a8a91fccc1e09061fd96b5e9/filesync_protocol.txt#L24
