code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,doc_link,source_link
CircuitDescription,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/QuickStart.md#L11
DC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/CircuitDescription.md#L44
DDR,repo,README.md,8,8,8,8,8,8,8,8,8,4,4,5,5,5,14,14,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/36da22f0c1dd76d68dea3c4599ff104b5f29776c/src/prudaq_capture.c#L144
DMA,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,3,3,3,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/src/prudaq_capture.c#L188
GNU,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,2,2,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/QuickStart.md#L37
GPIO,repo,README.md,4,4,4,7,7,7,15,21,21,21,21,22,22,22,27,27,27,26,26,26,31,31,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/src/prudaq_capture.c#L174
InputOutput,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,3,3,3,3,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/src/prudaq_capture.c#L239
PC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,5,5,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/QuickStart.md#L31
PRU,repo,README.md,8,8,8,10,10,10,15,15,15,20,20,28,28,28,37,37,37,38,38,38,41,41,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/src/shared_header.h#L32
PRUDAQ,repo,README.md,2,2,2,2,2,2,3,3,3,3,3,7,7,7,7,7,7,8,8,8,15,15,15,3,19,19,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/b0289d89010ffe97129b3d559f56488b11ca4423/src/prudaq_capture.c#L18
RAM,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,13,13,13,13,13,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/src/setup.sh#L27
SMA,repo,README.md,4,4,4,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,11,11,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/eagle/daq-beaglebone.sch#L1587
USB,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,6,6,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/de93018c9d6cd3905d43fcfb3a67e6d6330e0968/doc/QuickStart.md#L29
microUSB,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/36da22f0c1dd76d68dea3c4599ff104b5f29776c/doc/Performance.md#L60
pru0-gpioclk.p,repo,README.md,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,code_element is a file name
prudaq_capture,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/36da22f0c1dd76d68dea3c4599ff104b5f29776c/src/examples/round_robin/README.md#L5
prussdrv_open(),repo,README.md,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/d5cd47c7594bc9cf688be41635beecb70ab9f5d8/src/prudaq_capture.c#L131
uio_pruss,repo,README.md,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/prudaq/blob/19be80e0a4073e3a438359c989699c3d38970d5d/README.md,https://github.com/google/prudaq/blob/d5cd47c7594bc9cf688be41635beecb70ab9f5d8/src/prudaq_capture.c#L143
20MHz,wiki,BoardModification.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,1,1,1,1,1,https://github.com/google/prudaq/wiki/BoardModification/c7cbf15cd0fb9da1d6a2deea8c3140e19bdd3424,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.brd#L163
ADC,wiki,BoardModification.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,16,30,30,30,30,https://github.com/google/prudaq/wiki/BoardModification/c7cbf15cd0fb9da1d6a2deea8c3140e19bdd3424,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L51
INB,wiki,BoardModification.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,6,6,6,6,6,https://github.com/google/prudaq/wiki/BoardModification/c7cbf15cd0fb9da1d6a2deea8c3140e19bdd3424,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L233
SELECT,wiki,BoardModification.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,6,6,6,6,6,https://github.com/google/prudaq/wiki/BoardModification/c7cbf15cd0fb9da1d6a2deea8c3140e19bdd3424,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L248
VCC,wiki,BoardModification.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/BoardModification/c7cbf15cd0fb9da1d6a2deea8c3140e19bdd3424,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/BoardModification.md#L23
VREF,wiki,BoardModification.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,4,4,4,4,4,https://github.com/google/prudaq/wiki/BoardModification/c7cbf15cd0fb9da1d6a2deea8c3140e19bdd3424,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L238
VREFSENSE,wiki,BoardModification.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,0,0,0,0,https://github.com/google/prudaq/wiki/BoardModification/c7cbf15cd0fb9da1d6a2deea8c3140e19bdd3424,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/BoardModification.md#L17
channel_readout_modification,wiki,BoardModification.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/BoardModification/c7cbf15cd0fb9da1d6a2deea8c3140e19bdd3424,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/BoardModification.md#L9
differential_input_modification,wiki,BoardModification.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/BoardModification/c7cbf15cd0fb9da1d6a2deea8c3140e19bdd3424,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/BoardModification.md#L19
100pF,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1,1,1,1,1,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/round_robin/pru0-round-robin.p#L74
10MHz,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0,1,1,1,1,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/self_test/README.md#L18
160MHz,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,1,1,1,1,1,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/round_robin/pru0-round-robin.p#L74
1Mhz,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/CircuitDescription.md#L19
1V,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,0,0,0,0,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/QuickStart.md#L17
2V,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,4,4,4,4,4,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L3008
3V,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,17,17,17,17,17,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L896
5V,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,6,6,6,6,6,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L3021
6Kohm,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/CircuitDescription.md#L60
AC,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/CircuitDescription.md#L62
ADC,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,16,30,30,30,30,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L51
ADC9201,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/CircuitDescription.md#L60
BeagleBone,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,33,0,2,2,2,2,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/BeagleLogic/beaglelogic-prudaq-setup.sh#L11
DC,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/CircuitDescription.md#L44
GPIO,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,12,62,62,62,62,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/prudaq_capture.c#L174
LDO,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/CircuitDescription.md#L66
LED,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,23,23,23,23,23,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L446
MAX4734,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,2,2,2,2,2,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/round_robin/pru0-round-robin.p#L69
PRU,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,23,35,35,35,35,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/shared_header.h#L32
PWM,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,3,3,3,3,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/BeagleLogic/beaglelogic-prudaq-setup.sh#L13
SMA,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,4,4,4,4,4,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L1587
VREF,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,4,4,4,4,4,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L238
analog_inputs,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/CircuitDescription.md#L50
bone_capemgr,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,4,6,6,6,6,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/setup.sh#L43
clock_selection,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/CircuitDescription.md#L7
input_termination_filtering,wiki,CircuitDescription.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/CircuitDescription/b93435aac2e17918e72da51dd14e7048b60358bc,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/CircuitDescription.md#L54
10MHz,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0,1,1,1,1,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/self_test/README.md#L18
10MSPS,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/QuickStart.md#L51
1GHz,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,0,0,0,0,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/Performance.md#L39
1V,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,0,0,0,0,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/c2ff861c7368d0e6ba6b73916ddbafdfd4b047ce/doc/QuickStart.md#L17
2MSPS,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/src/examples/round_robin/pru0-round-robin.p#L31
2V,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,4,4,4,4,4,https://github.com/google/prudaq/wiki/Home/1bceb842bff83bf007e32be976e9feab05874001,https://github.com/google/prudaq/blob/8ef53f45aab16a095edc50d1e144e191d13303c1/eagle/daq-beaglebone.sch#L3008
