code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,doc_link,source_link
android/run_device_tests.sh,repo,README.md,-,-,-,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/before-upload.sh#L74
base:tests,repo,README.md,-,-,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/android/run_device_tests.sh#L22
com.google.time.client.base,repo,README.md,-,111,111,56,57,125,133,133,133,133,131,131,131,131,131,131,131,131,131,131,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/javase/java/com/google/time/client/sntp/tools/SntpTool.java#L19
com.google.time.client.base.impl,repo,README.md,-,-,-,47,48,82,82,82,82,73,72,72,72,72,72,72,73,73,73,73,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/javase/java/com/google/time/client/sntp/tools/SntpTool.java#L24
com.google.time.client.base.testing,repo,README.md,-,-,-,26,26,45,45,45,45,46,46,46,46,46,46,46,48,48,48,48,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/javase/java/com/google/time/client/base/testing/TestEnvironmentUtils.java#L17
com.google.time.client.sntp,repo,README.md,-,-,-,-,-,49,49,49,51,51,51,51,51,51,51,51,51,51,51,51,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/javase/java/com/google/time/client/sntp/tools/SntpTool.java#L17
com.google.time.client.sntp.impl,repo,README.md,-,-,-,-,-,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/common/javatests/com/google/time/client/sntp/impl/Timestamp64Test.java#L16
com.google.time.client.sntp.testing,repo,README.md,-,-,-,-,-,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/common/javatests/com/google/time/client/sntp/impl/SntpConnectorImplTest.java#L38
common/,repo,README.md,-,2,2,2,2,2,7,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/rm-copies-of-common.sh#L16
java_runtime_version,repo,README.md,-,-,-,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/before-upload.sh#L69
javase,repo,README.md,-,-,1,2,2,2,3,4,4,4,4,4,4,4,4,4,5,5,5,5,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/replace-symlinks-to-common-with-copies.sh#L25
javase/,repo,README.md,-,1,1,1,1,1,4,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/rm-copies-of-common.sh#L17
local_jdk,repo,README.md,-,-,-,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/before-upload.sh#L69
reformat-java.sh,repo,README.md,-,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/before-upload.sh#L43
regenerate-common-symlinks.sh,repo,README.md,-,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/java-time-client/blob/ddc81af0f41acbf60f0c60f0e0131026c92531d2/README.md,https://github.com/google/java-time-client/blob/67737a9a9d60d97e51fc76f09551dc6b280bd3f2/replace-symlinks-to-common-with-copies.sh#L20
