code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,doc_link,source_link
image_tensor:0,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/modify_onnx_model_opset10.py#L83
images_file_path,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/af3f7723583f184757a39e2dbfb115cc26bd398d/examples/ondevice_demo.cc#L30
label_map_file_path,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/af3f7723583f184757a39e2dbfb115cc26bd398d/examples/ondevice_demo.cc#L33
model_file_path,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/af3f7723583f184757a39e2dbfb115cc26bd398d/examples/ondevice_demo.cc#L32
model_opset_10,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/modify_onnx_model_opset10.py#L191
model_opset_10_modified,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/modify_onnx_model_opset10.py#L195
num_detections:0,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/modify_onnx_model_opset10.py#L146
ondevice_demo,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,11,11,12,12,12,12,12,12,12,12,12,12,12,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/af3f7723583f184757a39e2dbfb115cc26bd398d/examples/python/coral/ondevice_demo.py#L20
ondevice_demo_aarch64,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/154d9f99b26be982fb1faea3112e2fae8b68a1a4/Makefile#L60
ondevice_demo_k8,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/154d9f99b26be982fb1faea3112e2fae8b68a1a4/Makefile#L50
output_path,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/af3f7723583f184757a39e2dbfb115cc26bd398d/tools/visualizer.sh#L19
pwd,repo,README.md,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/af3f7723583f184757a39e2dbfb115cc26bd398d/tools/visualizer.sh#L18
result_path,repo,README.md,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/635bd299c721ab8096f792d022414b06bfa9d920/tools/visualizer.sh#L18
tools:visualizer,repo,README.md,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/af3f7723583f184757a39e2dbfb115cc26bd398d/tools/visualizer.sh#L17
traffic_frames,repo,README.md,-,-,-,-,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,9,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/af3f7723583f184757a39e2dbfb115cc26bd398d/tools/visualizer.sh#L18
traffic_label_map,repo,README.md,-,-,-,-,0,0,0,0,0,0,0,0,0,2,2,2,4,6,6,6,6,6,6,9,-,-,-,-,-,-,-,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/af3f7723583f184757a39e2dbfb115cc26bd398d/src/ondevice_python_wrapper_test.py#L19
traffic_model,repo,README.md,-,-,-,-,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,1,1,1,1,1,1,1,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/tools/trt_compiler.py#L20
traffic_model_edgetpu,repo,README.md,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,6,10,10,10,10,10,10,10,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/video_file_demo.py#L35
video_file_demo,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,7,https://github.com/google/automl-video-ondevice/blob/ae06d7498741bbe9493711654eab9153b19c3104/README.md,https://github.com/google/automl-video-ondevice/blob/53b3b411240e5eeb47dee3e2197eb592dbfaf57d/examples/video_file_demo.py#L25
