code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,doc_link,source_link
OK,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/php/oauth2.php#L63
SMTP,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,8,8,8,8,8,8,22,22,22,22,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L51
TLS,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,1,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/go/sendgmail/main.go#L136
URL,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,8,8,8,8,8,8,24,24,24,24,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L35
access_token,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,17,17,17,17,17,17,25,25,26,26,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L55
client_id,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,20,20,20,20,20,20,20,20,20,20,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L30
client_secret,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,15,15,15,15,15,15,15,15,15,15,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L31
generate_oauth2_string,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,5,5,5,5,5,5,5,5,5,5,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L51
generate_oauth2_token,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L32
oauth2.py,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/java/build-java-sample-zip.sh#L31
redirect_uri,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L184
refresh_token,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,12,12,12,12,12,12,12,12,12,12,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L48
response_type,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L186
test_imap_authentication,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,10,10,10,10,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L104
test_smtp_authentication,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,11,11,11,11,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/python/oauth2.py#L108
xoauth@gmail.com,wiki,OAuth2DotPyRunThrough.md,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,3,3,3,3,https://github.com/google/gmail-oauth2-tools/wiki/OAuth2DotPyRunThrough/8de3d74a46f19aff42e02281dd25966b581f6638,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/obsolete/java/com/google/code/samples/xoauth/XoauthSaslResponseBuilder.java#L38
JavaSampleCode,wiki,Overview.md,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,https://github.com/google/gmail-oauth2-tools/wiki/Overview/90bfe124a121f9e0dafc7b9237f970f109eaa0a4,https://github.com/google/gmail-oauth2-tools/blob/576cf1313c9d4ee6193958b6b64fd6605bb34c9b/java/README-java-sample.txt#L7
PhpSampleCode,wiki,Overview.md,.,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,https://github.com/google/gmail-oauth2-tools/wiki/Overview/90bfe124a121f9e0dafc7b9237f970f109eaa0a4,https://github.com/google/gmail-oauth2-tools/blob/576cf1313c9d4ee6193958b6b64fd6605bb34c9b/php/oauth2.php#L17
ZIP,wiki,PhpSampleCode.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,https://github.com/google/gmail-oauth2-tools/wiki/PhpSampleCode/96d105a2764758b8288d3b9a13b19f5d0216ed5a,https://github.com/google/gmail-oauth2-tools/blob/e3229155a4037267ce40f1a3a681f53221aa4d8d/java/build-java-sample-zip.sh#L21
