code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,rev_130,rev_131,rev_132,rev_133,rev_134,rev_135,rev_136,rev_137,rev_138,rev_139,rev_140,rev_141,rev_142,rev_143,rev_144,rev_145,rev_146,rev_147,rev_148,rev_149,rev_150,rev_151,rev_152,rev_153,rev_154,rev_155,rev_156,rev_157,rev_158,rev_159,rev_160,rev_161,rev_162,rev_163,rev_164,rev_165,rev_166,rev_167,rev_168,rev_169,rev_170,rev_171,rev_172,rev_173,rev_174,rev_175,rev_176,rev_177,rev_178,rev_179,rev_180,rev_181,rev_182,rev_183,rev_184,rev_185,rev_186,rev_187,rev_188,doc_link,source_link
qtools_stats_to_json,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/72bd21eca599b915283ebd2e3a6c3e86c96b2331/qkeras/qtools/run_qtools.py#L65
quantized_bits,repo,README.md,60,64,59,69,70,70,70,73,73,73,73,73,73,73,73,73,74,74,74,74,74,74,79,79,79,81,81,81,81,83,83,90,92,92,92,92,92,92,93,93,110,110,126,127,127,127,127,127,127,127,198,198,198,198,198,198,199,199,199,199,199,209,199,199,201,201,201,223,223,223,223,223,230,230,230,230,230,234,248,248,248,255,255,255,255,255,255,255,269,282,281,267,267,270,270,270,270,270,272,278,278,278,278,278,278,278,278,281,291,291,292,292,292,292,292,292,292,292,292,292,292,292,294,294,294,294,294,294,294,294,294,294,294,294,296,297,294,294,294,294,294,294,296,296,306,306,306,306,306,306,306,306,306,306,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,325,325,325,325,325,325,331,335,337,337,339,342,342,347,347,347,354,357,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/72bd21eca599b915283ebd2e3a6c3e86c96b2331/tests/utils_test.py#L48
quantized_bits(3),repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/72bd21eca599b915283ebd2e3a6c3e86c96b2331/notebook/QRNNTutorial.ipynb#L278
"quantized_bits(3,0,1)",repo,README.md,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/97b58fcc88b2db9c4a672c643d0e1a66914e3ffb/examples/example_keras_to_qkeras.py#L64
"quantized_bits(4, 0, 1)",repo,README.md,-,-,-,-,-,-,-,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,21,21,21,21,21,21,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,58,58,58,58,58,58,58,58,58,58,58,58,58,61,61,62,62,62,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,83,85,85,85,83,83,83,83,83,83,83,83,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/72bd21eca599b915283ebd2e3a6c3e86c96b2331/tests/utils_test.py#L170
"quantized_bits(4,0,1)",repo,README.md,16,16,16,16,15,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/97b58fcc88b2db9c4a672c643d0e1a66914e3ffb/examples/example_mnist_b2t.py#L111
quantized_relu,repo,README.md,55,55,53,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,60,60,60,67,67,67,67,69,69,79,80,80,80,81,81,81,81,81,87,87,99,99,99,101,101,101,101,101,114,114,114,114,114,114,115,115,118,118,118,123,118,118,118,118,118,129,129,129,129,129,129,129,129,129,129,129,134,137,137,145,145,145,145,145,145,145,151,160,157,149,149,149,149,152,152,152,156,163,169,169,169,168,172,172,172,172,175,174,177,177,177,177,177,177,177,177,177,177,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/72bd21eca599b915283ebd2e3a6c3e86c96b2331/tests/range_test.py#L26
quantized_tanh,repo,README.md,25,25,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,26,26,26,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,43,43,43,43,43,43,47,46,46,46,46,46,46,46,46,46,46,50,50,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/72bd21eca599b915283ebd2e3a6c3e86c96b2331/tests/quantizer_impl_test.py#L50
"quantized_ulaw(bits=8, integer=0, symmetric=0, u=255.0)",repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/72bd21eca599b915283ebd2e3a6c3e86c96b2331/notebook/QKerasTutorial.ipynb#L139
smooth_sigmoid(x),repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/72bd21eca599b915283ebd2e3a6c3e86c96b2331/tests/qactivation_test.py#L216
smooth_tanh(x),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/72bd21eca599b915283ebd2e3a6c3e86c96b2331/qkeras/quantizers.py#L250
stochastic_binary(alpha=1.0),repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/72bd21eca599b915283ebd2e3a6c3e86c96b2331/tests/min_max_test.py#L31
stochastic_ternary,repo,README.md,6,6,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,8,8,8,8,8,8,9,9,9,9,35,35,35,35,35,35,35,36,40,40,40,40,40,40,42,42,42,42,42,43,42,42,42,42,42,46,46,46,46,46,46,46,46,46,46,46,53,53,53,53,53,53,53,53,53,53,53,50,50,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,44,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/72bd21eca599b915283ebd2e3a6c3e86c96b2331/tests/quantizer_impl_test.py#L148
x_in,repo,README.md,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,24,24,24,28,28,28,28,28,28,34,34,34,34,34,34,34,34,34,36,36,40,40,40,40,40,40,40,40,62,62,62,62,62,62,62,62,62,62,62,64,62,60,60,60,60,66,66,66,66,66,70,70,70,70,70,70,74,74,74,77,77,77,77,77,77,77,80,84,84,80,80,80,80,80,80,80,80,80,80,80,80,80,88,88,88,92,94,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,102,102,102,102,102,102,102,102,102,102,102,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,106,106,106,106,106,106,106,108,108,108,108,108,https://github.com/google/qkeras/blob/fcf610e16a54fb940346b331e357dd3d926b657a/README.md,https://github.com/google/qkeras/blob/72bd21eca599b915283ebd2e3a6c3e86c96b2331/tests/utils_test.py#L122
