code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,doc_link,source_link
DATE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/data/conll2003/en/valid.txt#L23246
GPU,repo,README.md,-,-,-,-,-,5,6,6,7,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test-parameters-training.ini#L63
GitHub,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/data/i2b2_2014_deid/readme.md#L13
LLC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/parameters.ini#L3
NAME,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/data/conll2003/en/train.txt#L73938
NER,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/df59495019f758d647fbde9d0084a286b3a4e99a/src/conll2standoff.py#L83
NeuroNER,repo,README.md,0,2,9,8,12,12,15,15,17,19,19,21,21,21,21,22,22,22,22,22,22,22,23,25,25,25,25,25,25,25,25,28,28,28,28,28,28,28,29,29,29,29,23,23,23,23,23,23,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,33,33,33,33,33,33,33,33,33,36,37,37,36,36,36,36,36,36,36,23,23,23,23,23,23,23,23,23,23,23,23,24,24,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test_main.py#L30
OS,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/d7f1b4baa3f55702c291d0fdb17dd54bccab12da/install_mac.md#L1
README.md,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/setup.py#L11
TensorBoard,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/utils_tf.py#L5
TensorFlow,repo,README.md,-,-,-,-,-,8,8,7,7,7,7,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,9,9,9,9,9,9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/setup.py#L66
character_embedding_dimension,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,11,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,15,15,15,15,15,15,14,14,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test-parameters-training.ini#L34
character_lstm_hidden_state_dimension,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,13,13,13,13,13,13,12,12,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test-parameters-training.ini#L35
conll_2003_en,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test-parameters-training.ini#L17
data/conll2003/en,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test-parameters-training.ini#L20
data/example_unannotated_texts,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/.travis.yml#L27
dataset_text_folder,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,29,38,38,38,37,37,37,37,37,37,34,34,34,34,34,34,33,33,33,33,33,33,47,47,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test-parameters-training.ini#L4
delete_token_mappings,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/scripts/share_model.py#L33
deploy,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,24,27,27,27,27,27,27,27,27,27,25,25,25,25,25,25,25,25,25,25,25,25,25,25,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/train.py#L75
epoch_number,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,42,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/train.py#L71
example_unannotated_texts,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/.travis.yml#L23
fetch_data,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/neuromodel.py#L78
fetch_trained_model,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/__main__.py#L73
freeze_token_embeddings,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,8,8,8,8,10,10,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,15,15,15,15,15,15,15,15,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test-parameters-training.ini#L99
install_mac,repo,README.md,-,-,-,-,-,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/d7f1b4baa3f55702c291d0fdb17dd54bccab12da/install_mac.md#L14
maximum_number_of_epochs,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,15,15,15,15,15,15,15,15,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/test/test-parameters-training.ini#L48
mimic_glove_stanford_bioes,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/trained_models/performances.md#L10
model_name,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/README.md,https://github.com/google/NeuroNER-CSPMC/blob/908c5b1bd4fc1c950df0bb19acbe6a5d760a8417/neuroner/scripts/share_model.py#L37
