code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,doc_link,source_link
BOOL,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,98,98,90,90,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L198
GTL_DEBUG_OAUTH_SIGNING,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/GTMOAuthAuthentication.m#L296
GTMHTTPFetcher,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,75,75,75,75,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.h#L52
GTMOAuth,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,27,27,27,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L611
GTMOAuthAuthentication,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,115,115,115,115,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L35
GTMOAuthAuthentication.m,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,36,36,36,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/GTMOAuth.xcodeproj/project.pbxproj#L10
GTMOAuthSignIn,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84,84,84,84,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L34
GTMOAuthViewControllerTouch,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,56,54,54,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewTouch.xib#L8
GTMOAuthViewTouch,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,16,16,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L25
GTMOAuthWindow,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,15,15,15,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Mac/GTMOAuthWindowController.m#L171
GTMOAuthWindowController,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,57,57,57,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.h#L44
NO,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,108,108,105,105,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewTouch.xib#L25
NSError,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,48,47,47,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L79
NSMutableURLRequest,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,43,43,43,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Test/GTMOAuthTest.m#L202
NSString,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,453,453,453,453,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L37
NSURL,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,69,69,68,68,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L101
OAuthCallback,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Mac/GTMOAuthWindowController.h#L33
OS,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Examples/OAuthSampleTouch/README.txt#L4
SystemConfiguration,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32,32,32,32,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/GTMOAuthSignIn.h#L45
URL,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,41,41,41,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L385
URLWithString,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,14,14,14,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Test/GTMOAuthTest.m#L201
accessTokenURL:accessURL,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,7,7,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L123
accessURL,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,11,11,11,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L103
access_token,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Examples/OAuthSampleTouch/OAuthSampleRootViewControllerTouch.m#L166
animated:YES,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.h#L40
appServiceName,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,42,42,42,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L105
authentication:auth,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,9,9,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L163
authorizeFromKeychainForName,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L198
authorizeRequest:myNSURLMutableRequest,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.h#L57
authorizeTokenURL:authorizeURL,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,7,7,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L122
authorizeURL,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,11,11,11,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L102
awakeFromNib,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.h#L100
canAuthorize,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,9,9,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L486
consumerKey:myConsumerKey,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Mac/GTMOAuthWindowController.h#L30
delegate:self,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L124
didAuth,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Examples/OAuthSampleTouch/OAuthSampleRootViewControllerTouch.m#L65
finishedSelector,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,29,29,29,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L107
finishedWithAuth,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,16,16,16,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L78
iOS,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,2,2,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewTouch.xib#L2
iPhone,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,26,26,26,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L614
initWithScope:scope,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,5,5,5,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Touch/GTMOAuthViewControllerTouch.m#L158
initWithSignatureMethod:kGTMOAuthSignatureMethodHMAC_SHA1,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Source/Mac/GTMOAuthWindowController.h#L29
isSignedIn,wiki,Home.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,11,11,11,https://github.com/google/gtm-oauth/wiki/Home/d291a4c87433724392ee5cbba119c7cf88a83753,https://github.com/google/gtm-oauth/blob/0bc8ba45d4e5bfb0a2ed1cac54c40b2f359a1a54/Examples/OAuthSampleTouch/OAuthSampleRootViewControllerTouch.m#L101
