code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,doc_link,source_link
SECCOMP_RET_KILL_PROCESS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/print.c#L35
SECCOMP_RET_LOG,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/print.c#L32
SECCOMP_RET_USER_NOTIF,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/print.c#L38
SYSCALL,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/test/broken.c#L32
USE,repo,README.md,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,56,56,55,55,55,55,55,55,68,68,68,68,68,68,68,68,68,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/test/includes.c#L33
USER_NOTIF,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/src/parser.y#L139
arch_prctl,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/gen_syscalls/missing/amd64.c#L1
exit_group,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,3,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/src/syscalls/riscv64_syscalls.c#L241
free(prog.filter),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/main.c#L79
"kafel_compile(ctxt, &prog)",repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/main.c#L59
kafel_ctxt_create(),repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/main.c#L55
kafel_ctxt_destroy(&ctxt),repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/main.c#L66
kafel_ctxt_t,repo,README.md,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,30,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/main.c#L55
rt_sigaction,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,3,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/src/syscalls/riscv64_syscalls.c#L1238
rt_sigreturn,repo,README.md,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/gen_syscalls/missing/arm.c#L21
sock_fprog,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/dump_policy_bpf/print.h#L27
||,repo,README.md,42,42,42,42,42,42,42,41,41,41,41,41,42,42,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,30,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,28,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,32,32,32,32,32,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/google/kafel/blob/8e69b8efae415cde3debffbb1e379d9e7a16835a/README.md,https://github.com/google/kafel/blob/1af0975af45ca4404f357b9a4e1636f53a01bfd3/tools/gen_syscalls/gen_syscalls.sh#L22
