code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,doc_link,source_link
image_globs_list,repo,README.md,.,13,13,13,13,13,13,13,13,13,13,13,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/quality/validate_data.py#L5
image_height,repo,README.md,.,112,112,112,112,112,112,110,110,110,110,110,110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/quality/validate_data.py#L6
image_width,repo,README.md,.,131,131,131,131,131,131,129,129,129,129,129,129,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/quality/validate_data.py#L6
images_for_glob_test,repo,README.md,.,3,3,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/d77ee5f07537f6a753f909789e489adc1d2b6d9e/tests/test_inference.py#L22
main,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,14,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/d77ee5f07537f6a753f909789e489adc1d2b6d9e/microscopeimagequality/data/imagej/src/main/java/MicroscopeImageFocusQualityClassifier.java#L199
miq.download_model,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/d77ee5f07537f6a753f909789e489adc1d2b6d9e/microscopeimagequality/application.py#L220
miq_eval.py,repo,README.md,.,3,3,3,3,3,3,3,3,3,3,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/quality/miq_eval_test.py#L1
miq_result_images,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/d77ee5f07537f6a753f909789e489adc1d2b6d9e/microscopeimagequality/summarize.py#L38
miq_train.py,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/quality/miq_train.py#L5
model,repo,README.md,.,37,52,55,55,55,55,55,55,55,55,55,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/quality/validate_data.py#L43
model.ckpt,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/d77ee5f07537f6a753f909789e489adc1d2b6d9e/microscopeimagequality/prediction.py#L6
model.ckpt-1000042,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/d77ee5f07537f6a753f909789e489adc1d2b6d9e/microscopeimagequality/constants.py#L9
model_ckpt_file,repo,README.md,.,8,8,8,8,8,8,8,8,8,8,8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/quality/run_inference.py#L6
quality,repo,README.md,.,-,-,-,-,38,38,38,38,38,38,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/adee10da74a3a1691fdba316310e6b55691e4026/simulator/degrade_test.py#L26
run_inference,repo,README.md,.,10,10,10,10,10,10,10,10,10,10,10,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/quality/summarize_inference.py#L4
setup.py,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,1,1,1,1,1,1,1,1,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,code_element is a file name
summarize_inference,repo,README.md,.,1,1,1,1,1,1,1,1,1,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/quality/summarize_inference.py#L8
validate_data,repo,README.md,.,7,7,7,7,7,7,7,7,7,7,7,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/microscopeimagequality/blob/889d6d2e17d46a82e0af6e7810cf634c76902c0a/README.md,https://github.com/google/microscopeimagequality/blob/07554d375babdeb34ad09891922f9bcdb84c2d3c/quality/validate_data_test.py#L1
